group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
sapai_example,,,,,1441600.0,ns,346
sapai_example,,,,,1935800.0,ns,692
sapai_example,,,,,3133200.0,ns,1038
sapai_example,,,,,3976000.0,ns,1384
sapai_example,,,,,4873800.0,ns,1730
sapai_example,,,,,5846000.0,ns,2076
sapai_example,,,,,7241700.0,ns,2422
sapai_example,,,,,7720600.0,ns,2768
sapai_example,,,,,9022700.0,ns,3114
sapai_example,,,,,9542800.0,ns,3460
sapai_example,,,,,10505300.0,ns,3806
sapai_example,,,,,11471600.0,ns,4152
sapai_example,,,,,12419500.0,ns,4498
sapai_example,,,,,13333900.0,ns,4844
sapai_example,,,,,14287400.0,ns,5190
sapai_example,,,,,15146900.0,ns,5536
sapai_example,,,,,16381700.0,ns,5882
sapai_example,,,,,17245400.0,ns,6228
sapai_example,,,,,18129800.0,ns,6574
sapai_example,,,,,19135500.0,ns,6920
sapai_example,,,,,20047200.0,ns,7266
sapai_example,,,,,20995400.0,ns,7612
sapai_example,,,,,21960000.0,ns,7958
sapai_example,,,,,22898400.0,ns,8304
sapai_example,,,,,23843900.0,ns,8650
sapai_example,,,,,24848300.0,ns,8996
sapai_example,,,,,25762200.0,ns,9342
sapai_example,,,,,26758900.0,ns,9688
sapai_example,,,,,27689200.0,ns,10034
sapai_example,,,,,28769000.0,ns,10380
sapai_example,,,,,29729700.0,ns,10726
sapai_example,,,,,30712700.0,ns,11072
sapai_example,,,,,31642200.0,ns,11418
sapai_example,,,,,32640100.0,ns,11764
sapai_example,,,,,37702700.0,ns,12110
sapai_example,,,,,35262200.0,ns,12456
sapai_example,,,,,36230900.0,ns,12802
sapai_example,,,,,37008600.0,ns,13148
sapai_example,,,,,37163400.0,ns,13494
sapai_example,,,,,38542000.0,ns,13840
sapai_example,,,,,39276200.0,ns,14186
sapai_example,,,,,40347400.0,ns,14532
sapai_example,,,,,41507400.0,ns,14878
sapai_example,,,,,42617900.0,ns,15224
sapai_example,,,,,43293100.0,ns,15570
sapai_example,,,,,44260700.0,ns,15916
sapai_example,,,,,45181600.0,ns,16262
sapai_example,,,,,46198100.0,ns,16608
sapai_example,,,,,47123800.0,ns,16954
sapai_example,,,,,48099800.0,ns,17300
sapai_example,,,,,49096900.0,ns,17646
sapai_example,,,,,50611900.0,ns,17992
sapai_example,,,,,51154100.0,ns,18338
sapai_example,,,,,51892400.0,ns,18684
sapai_example,,,,,52605200.0,ns,19030
sapai_example,,,,,54249500.0,ns,19376
sapai_example,,,,,54604700.0,ns,19722
sapai_example,,,,,55709000.0,ns,20068
sapai_example,,,,,56611600.0,ns,20414
sapai_example,,,,,57416300.0,ns,20760
sapai_example,,,,,58510100.0,ns,21106
sapai_example,,,,,59445000.0,ns,21452
sapai_example,,,,,60528700.0,ns,21798
sapai_example,,,,,61434000.0,ns,22144
sapai_example,,,,,62297400.0,ns,22490
sapai_example,,,,,63348900.0,ns,22836
sapai_example,,,,,64237200.0,ns,23182
sapai_example,,,,,65217100.0,ns,23528
sapai_example,,,,,66172600.0,ns,23874
sapai_example,,,,,67128200.0,ns,24220
sapai_example,,,,,68111900.0,ns,24566
sapai_example,,,,,69148900.0,ns,24912
sapai_example,,,,,70111900.0,ns,25258
sapai_example,,,,,72119000.0,ns,25604
sapai_example,,,,,72896000.0,ns,25950
sapai_example,,,,,73147500.0,ns,26296
sapai_example,,,,,74559600.0,ns,26642
sapai_example,,,,,79698700.0,ns,26988
sapai_example,,,,,76104000.0,ns,27334
sapai_example,,,,,77047900.0,ns,27680
sapai_example,,,,,78011800.0,ns,28026
sapai_example,,,,,79008300.0,ns,28372
sapai_example,,,,,80209800.0,ns,28718
sapai_example,,,,,80936000.0,ns,29064
sapai_example,,,,,82156000.0,ns,29410
sapai_example,,,,,82899600.0,ns,29756
sapai_example,,,,,84245800.0,ns,30102
sapai_example,,,,,85123400.0,ns,30448
sapai_example,,,,,85816000.0,ns,30794
sapai_example,,,,,87125900.0,ns,31140
sapai_example,,,,,87752200.0,ns,31486
sapai_example,,,,,88674600.0,ns,31832
sapai_example,,,,,89636100.0,ns,32178
sapai_example,,,,,91198600.0,ns,32524
sapai_example,,,,,91630300.0,ns,32870
sapai_example,,,,,93028300.0,ns,33216
sapai_example,,,,,93580500.0,ns,33562
sapai_example,,,,,94186000.0,ns,33908
sapai_example,,,,,95768300.0,ns,34254
sapai_example,,,,,96388900.0,ns,34600
