group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
sapai_example,,,,,37511500.0,ns,26407
sapai_example,,,,,2034200.0,ns,52814
sapai_example,,,,,2885000.0,ns,79221
sapai_example,,,,,3846600.0,ns,105628
sapai_example,,,,,4794900.0,ns,132035
sapai_example,,,,,5804900.0,ns,158442
sapai_example,,,,,6742600.0,ns,184849
sapai_example,,,,,7700600.0,ns,211256
sapai_example,,,,,8678600.0,ns,237663
sapai_example,,,,,9600100.0,ns,264070
sapai_example,,,,,10584100.0,ns,290477
sapai_example,,,,,11512000.0,ns,316884
sapai_example,,,,,12483200.0,ns,343291
sapai_example,,,,,13431600.0,ns,369698
sapai_example,,,,,14397600.0,ns,396105
sapai_example,,,,,15530100.0,ns,422512
sapai_example,,,,,16355600.0,ns,448919
sapai_example,,,,,17264900.0,ns,475326
sapai_example,,,,,18226600.0,ns,501733
sapai_example,,,,,19188300.0,ns,528140
sapai_example,,,,,20140800.0,ns,554547
sapai_example,,,,,21143500.0,ns,580954
sapai_example,,,,,22071900.0,ns,607361
sapai_example,,,,,23026500.0,ns,633768
sapai_example,,,,,24001400.0,ns,660175
sapai_example,,,,,25006900.0,ns,686582
sapai_example,,,,,25930000.0,ns,712989
sapai_example,,,,,26910300.0,ns,739396
sapai_example,,,,,27796900.0,ns,765803
sapai_example,,,,,28837900.0,ns,792210
sapai_example,,,,,29742500.0,ns,818617
sapai_example,,,,,30732000.0,ns,845024
sapai_example,,,,,31805600.0,ns,871431
sapai_example,,,,,32778500.0,ns,897838
sapai_example,,,,,33599200.0,ns,924245
sapai_example,,,,,34638100.0,ns,950652
sapai_example,,,,,35584400.0,ns,977059
sapai_example,,,,,36580500.0,ns,1003466
sapai_example,,,,,37470100.0,ns,1029873
sapai_example,,,,,39382300.0,ns,1056280
sapai_example,,,,,39372900.0,ns,1082687
sapai_example,,,,,40401900.0,ns,1109094
sapai_example,,,,,41308100.0,ns,1135501
sapai_example,,,,,42229400.0,ns,1161908
sapai_example,,,,,43220800.0,ns,1188315
sapai_example,,,,,44175200.0,ns,1214722
sapai_example,,,,,45138100.0,ns,1241129
sapai_example,,,,,46204400.0,ns,1267536
sapai_example,,,,,47056800.0,ns,1293943
sapai_example,,,,,48085800.0,ns,1320350
sapai_example,,,,,48937300.0,ns,1346757
sapai_example,,,,,53309900.0,ns,1373164
sapai_example,,,,,50859600.0,ns,1399571
sapai_example,,,,,51871900.0,ns,1425978
sapai_example,,,,,52850000.0,ns,1452385
sapai_example,,,,,55114900.0,ns,1478792
sapai_example,,,,,55981900.0,ns,1505199
sapai_example,,,,,56974700.0,ns,1531606
sapai_example,,,,,57825100.0,ns,1558013
sapai_example,,,,,59197100.0,ns,1584420
sapai_example,,,,,59677700.0,ns,1610827
sapai_example,,,,,60791600.0,ns,1637234
sapai_example,,,,,61849500.0,ns,1663641
sapai_example,,,,,62610500.0,ns,1690048
sapai_example,,,,,64303400.0,ns,1716455
sapai_example,,,,,64823900.0,ns,1742862
sapai_example,,,,,65680100.0,ns,1769269
sapai_example,,,,,66714700.0,ns,1795676
sapai_example,,,,,67663200.0,ns,1822083
sapai_example,,,,,68499500.0,ns,1848490
sapai_example,,,,,68990100.0,ns,1874897
sapai_example,,,,,69687900.0,ns,1901304
sapai_example,,,,,70536700.0,ns,1927711
sapai_example,,,,,71903200.0,ns,1954118
sapai_example,,,,,72946600.0,ns,1980525
sapai_example,,,,,74088400.0,ns,2006932
sapai_example,,,,,74949100.0,ns,2033339
sapai_example,,,,,75390900.0,ns,2059746
sapai_example,,,,,76377700.0,ns,2086153
sapai_example,,,,,77211200.0,ns,2112560
sapai_example,,,,,86556700.0,ns,2138967
sapai_example,,,,,83986000.0,ns,2165374
sapai_example,,,,,85895000.0,ns,2191781
sapai_example,,,,,82399000.0,ns,2218188
sapai_example,,,,,84186800.0,ns,2244595
sapai_example,,,,,91516700.0,ns,2271002
sapai_example,,,,,83971300.0,ns,2297409
sapai_example,,,,,84884400.0,ns,2323816
sapai_example,,,,,87327700.0,ns,2350223
sapai_example,,,,,86888400.0,ns,2376630
sapai_example,,,,,87658100.0,ns,2403037
sapai_example,,,,,96090400.0,ns,2429444
sapai_example,,,,,91258300.0,ns,2455851
sapai_example,,,,,90708100.0,ns,2482258
sapai_example,,,,,93903400.0,ns,2508665
sapai_example,,,,,94083700.0,ns,2535072
sapai_example,,,,,95102500.0,ns,2561479
sapai_example,,,,,95443000.0,ns,2587886
sapai_example,,,,,96881100.0,ns,2614293
sapai_example,,,,,96762800.0,ns,2640700
